Ürün Adı,Fiyat,Yonga Seti Modeli,İşlemci Soketi,Bellek Teknolojisi,Bellek Saat Hızı (OC),Teknik Puan,Link
Asus ROG Maximus X Hero (Wi-Fi),,Intel Z370,LGA 1151,DDR4,4133 MHz,66,https://www.epey.com/anakart/asus-rog-maximus-x-hero-wi-fi.html
Asus Z270-WS,,Intel Z270,LGA 1151,DDR4,3866 MHz,66,https://www.epey.com/anakart/asus-z270-ws.html
ASRock Z270M Extreme4,,Intel Z270,LGA 1151,DDR4,3600 MHz,66,https://www.epey.com/anakart/asrock-z270m-extreme4.html
Gigabyte Z370 AORUS Gaming 7,,Intel Z370,LGA 1151,DDR4,4133 MHz,66,https://www.epey.com/anakart/gigabyte-z370-aorus-gaming-7.html
Gigabyte B450 Aorus Pro,,AMD B450,AM4,DDR4,3200 MHz,65,https://www.epey.com/anakart/gigabyte-b450-aorus-pro.html
Gigabyte Z490M,,Intel Z490,LGA 1200,DDR4,4400 MHz,65,https://www.epey.com/anakart/gigabyte-z490m.html
Gigabyte Z590I Vision D,,Intel Z590,LGA 1200,DDR4,4600 MHz,65,https://www.epey.com/anakart/gigabyte-z590i-vision-d.html
Gigabyte X470 Aorus Gaming 5 WiFi,,AMD X470,AM4,DDR4,3200 MHz,65,https://www.epey.com/anakart/gigabyte-x470-aorus-gaming-5-wifi.html
Asus ROG Strix Z370-E Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,65,https://www.epey.com/anakart/asus-rog-strix-z370-e-gaming.html
MSI Z270 Gaming M6 AC,,Intel Z270,LGA 1151,DDR4,3800 MHz,65,https://www.epey.com/anakart/msi-z270-gaming-m6-ac.html
Asus TUF Z390-Pro Gaming,,Intel Z390,LGA 1151,DDR4,4266 MHz,65,https://www.epey.com/anakart/asus-tuf-z390-pro-gaming.html
Gigabyte Z370 AORUS Gaming 7-OP,,Intel Z370,LGA 1151,DDR4,4133 MHz,65,https://www.epey.com/anakart/gigabyte-z370-aorus-gaming-7-op.html
Gigabyte GA-Z270X-Gaming 5,,Intel Z270,LGA 1151,DDR4,4133 MHz,65,https://www.epey.com/anakart/gigabyte-ga-z270x-gaming-5.html
Gigabyte X570 UD,,AMD X570,AM4,DDR4,4000 MHz,65,https://www.epey.com/anakart/gigabyte-x570-ud.html
Asus Z170-Deluxe,,Intel Z170,LGA 1151,DDR4,4000 MHz,65,https://www.epey.com/anakart/asus-z170-deluxe.html
Asus ROG Strix Z270E Gaming,,Intel Z270,LGA 1151,DDR4,3866 MHz,65,https://www.epey.com/anakart/asus-rog-strix-z270e-gaming.html
Asus TUF Z390-Plus Gaming,,Intel Z390,LGA 1151,DDR4,4266 MHz,65,https://www.epey.com/anakart/asus-tuf-z390-plus-gaming.html
MSI X470 Gaming Pro Carbon AC,,AMD X470,AM4,DDR4,3466 MHz,65,https://www.epey.com/anakart/msi-x470-gaming-pro-carbon-ac.html
MSI B450 Gaming Pro Carbon AC,,AMD B450,AM4,DDR4,3466 MHz,64,https://www.epey.com/anakart/msi-b450-gaming-pro-carbon-ac.html
MSI X470 Gaming M7 AC,,AMD X470,AM4,DDR4,3600 MHz,64,https://www.epey.com/anakart/msi-x470-gaming-m7-ac.html
Asus ROG Crosshair VI Extreme,,AMD X370,AM4,DDR4,3200 MHz,64,https://www.epey.com/anakart/asus-rog-crosshair-vi-extreme.html
Asus Prime Z490-V-SI,,Intel Z490,LGA 1200,DDR4,4266 MHz,64,https://www.epey.com/anakart/asus-prime-z490-v-si.html
MSI B450M Mortar,,AMD B450,AM4,DDR4,3466 MHz,64,https://www.epey.com/anakart/msi-b450m-mortar.html
Asus Prime Z390-P,,Intel Z390,LGA 1151,DDR4,4266 MHz,64,https://www.epey.com/anakart/asus-prime-z390-p.html
Asus Maximus VIII Extreme,,Intel Z170,LGA 1151,DDR4,3866 MHz,64,https://www.epey.com/anakart/asus-maximus-viii-extreme.html
MSI X370 Gaming M7 ACK,,AMD X370,AM4,DDR4,3200 MHz,64,https://www.epey.com/anakart/msi-x370-gaming-m7-ack.html
Asus ROG Crosshair VI Hero (Wi-Fi AC),,AMD X370,AM4,DDR4,3200 MHz,64,https://www.epey.com/anakart/asus-rog-crosshair-vi-hero-wi-fi-ac.html
MSI Z170A Gaming M5,,Intel Z170,LGA 1151,DDR4,3600 MHz,64,https://www.epey.com/anakart/msi-z170a-gaming-m5.html
Gigabyte Z490M Gaming X,,Intel Z490,LGA 1200,DDR4,3200 MHz,64,https://www.epey.com/anakart/gigabyte-z490m-gaming-x.html
Biostar X570GTA,,AMD X570,AM4,DDR4,4000 MHz,63,https://www.epey.com/anakart/biostar-x570gta.html
Gigabyte H470 Aorus Pro AX,,Intel H470,LGA 1200,DDR4,2933 MHz,63,https://www.epey.com/anakart/gigabyte-h470-aorus-pro-ax.html
Asus Z170-Premium,,Intel Z170,LGA 1151,DDR4,4000 MHz,63,https://www.epey.com/anakart/asus-z170-premium.html
MSI B450 TomaHawk,,AMD B450,AM4,DDR4,3466 MHz,63,https://www.epey.com/anakart/msi-b450-tomahawk.html
Gigabyte Z390 I AORUS Pro WiFi,,Intel Z390,LGA 1151,DDR4,4400 MHz,63,https://www.epey.com/anakart/gigabyte-z390-i-aorus-pro-wifi.html
Asus TUF X470-Plus Gaming,,AMD X470,AM4,DDR4,3200 MHz,63,https://www.epey.com/anakart/asus-tuf-x470-plus-gaming.html
Gigabyte Z370 AORUS Ultra Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,63,https://www.epey.com/anakart/gigabyte-z370-aorus-ultra-gaming.html
Gigabyte GA-Z270X-Gaming K5,,Intel Z270,LGA 1151,DDR4,3866 MHz,63,https://www.epey.com/anakart/gigabyte-ga-z270x-gaming-k5.html
Gigabyte Z370 AORUS Ultra Gaming 2.0-OP,,Intel Z370,LGA 1151,DDR4,4000 MHz,63,https://www.epey.com/anakart/gigabyte-z370-aorus-ultra-gaming-2-0-op.html
Asus Z170 Pro Gaming,,Intel Z170,LGA 1151,DDR4,3400 MHz,63,https://www.epey.com/anakart/asus-z170-pro-gaming.html
Gigabyte AORUS Z270X-Gaming 7,,Intel Z270,LGA 1151,DDR4,4133 MHz,63,https://www.epey.com/anakart/gigabyte-aorus-z270x-gaming-7.html
Gigabyte Z390 UD,,Intel Z390,LGA 1151,DDR4,4266 MHz,63,https://www.epey.com/anakart/gigabyte-z390-ud.html
MSI Z270 Gaming M7,,Intel Z270,LGA 1151,DDR4,4133 MHz,63,https://www.epey.com/anakart/msi-z270-gaming-m7.html
MSI X470 Gaming Plus,,AMD X470,AM4,DDR4,3466 MHz,63,https://www.epey.com/anakart/msi-x470-gaming-plus.html
Gigabyte Z370 AORUS Ultra Gaming 2.0,,Intel Z370,LGA 1151,DDR4,4000 MHz,63,https://www.epey.com/anakart/gigabyte-z370-aorus-ultra-gaming-2-0.html
MSI X470 Gaming Pro Max,,AMD X470,AM4,DDR4,4133 MHz,63,https://www.epey.com/anakart/msi-x470-gaming-pro-max.html
Gigabyte Z370 AORUS Gaming K3,,Intel Z370,LGA 1151,DDR4,4000 MHz,63,https://www.epey.com/anakart/gigabyte-z370-aorus-gaming-k3.html
Asus TUF Z370-Pro Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,58,https://www.epey.com/anakart/asus-tuf-z370-pro-gaming.html
MSI Z270I Gaming Pro Carbon AC,,Intel Z270,LGA 1151,DDR4,3800 MHz,58,https://www.epey.com/anakart/msi-z270i-gaming-pro-carbon-ac.html
Asus ROG Strix Z270H Gaming,,Intel Z270,LGA 1151,DDR4,3866 MHz,58,https://www.epey.com/anakart/asus-rog-strix-z270h-gaming.html
Gigabyte A520M Aorus Elite,,AMD A520,AM4,DDR4,4733 MHz,58,https://www.epey.com/anakart/gigabyte-a520m-aorus-elite.html
Gigabyte GA-AB350M-Gaming 3,,AMD B350,AM4,DDR4,3200 MHz,58,https://www.epey.com/anakart/gigabyte-ga-ab350m-gaming-3.html
ASRock B460 Pro4,,Intel B460,LGA 1200,DDR4,2933 MHz,58,https://www.epey.com/anakart/asrock-b460-pro4.html
MSI Z370 Gaming Plus,,Intel Z370,LGA 1151,DDR4,4000 MHz,58,https://www.epey.com/anakart/msi-z370-gaming-plus.html
MSI B350M Mortar Arctic,,AMD B350,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/msi-b350m-mortar-arctic.html
MSI B350M Mortar,,AMD B350,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/msi-b350m-mortar.html
Asus Maximus VIII Ranger,,Intel Z170,LGA 1151,DDR4,3400 MHz,57,https://www.epey.com/anakart/asus-maximus-viii-ranger.html
Asus ROG Strix B350-F Gaming,,AMD B350,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/asus-rog-strix-b350-f-gaming.html
Gigabyte Z370P-D3,,Intel Z370,LGA 1151,DDR4,4000 MHz,57,https://www.epey.com/anakart/gigabyte-z370p-d3.html
MSI B350 Tomahawk,,AMD B350,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/msi-b350-tomahawk.html
MSI B350 Tomahawk Arctic,,AMD B350,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/msi-b350-tomahawk-arctic.html
Asus Prime Z370-P II,,Intel Z370,LGA 1151,DDR4,4000 MHz,57,https://www.epey.com/anakart/asus-prime-z370-p-ii.html
Asus ROG Strix B360-G Gaming,,Intel B360,LGA 1151,DDR4,2666 MHz,57,https://www.epey.com/anakart/asus-rog-strix-b360-g-gaming.html
MSI Z170-A Pro,,Intel Z170,LGA 1151,DDR4,3200 MHz,57,https://www.epey.com/anakart/msi-z170-a-pro.html
Asus Prime Z370-P,,Intel Z370,LGA 1151,DDR4,4000 MHz,57,https://www.epey.com/anakart/asus-prime-z370-p.html
Gigabyte B360 AORUS Gaming 3 WiFi,,Intel B360,LGA 1151,DDR4,2666 MHz,57,https://www.epey.com/anakart/gigabyte-b360-aorus-gaming-3-wifi.html
Gigabyte A520M DS3H AC,,AMD A520,AM4,DDR4,4733 MHz,57,https://www.epey.com/anakart/gigabyte-a520m-ds3h-ac.html
MSI Z370-A PRO,,Intel Z370,LGA 1151,DDR4,4000 MHz,57,https://www.epey.com/anakart/msi-z370-a-pro.html
Asus ROG Strix H270F Gaming,,Intel H270,LGA 1151,DDR4,2400 MHz,57,https://www.epey.com/anakart/asus-rog-strix-h270f-gaming.html
Gigabyte H470I Aorus Pro AX,,Intel H470,LGA 1200,DDR4,2933 MHz,57,https://www.epey.com/anakart/gigabyte-h470i-aorus-pro-ax.html
ASRock B365 Phantom Gaming 4,,Intel B365,LGA 1151,DDR4,2666 MHz,57,https://www.epey.com/anakart/asrock-b365-phantom-gaming-4.html
Gigabyte GA-AX370-Gaming,,AMD X370,AM4,DDR4,3200 MHz,57,https://www.epey.com/anakart/gigabyte-ga-ax370-gaming.html
Asus TUF Z270 Mark 2,,Intel Z270,LGA 1151,DDR4,3866 MHz,57,https://www.epey.com/anakart/asus-tuf-z270-mark-2.html
Asus TUF Gaming B460M-Pro,,Intel B460,LGA 1200,DDR4,2933 MHz,57,https://www.epey.com/anakart/asus-tuf-gaming-b460m-pro.html
Asus Prime H470-Plus,,Intel H470,LGA 1200,DDR4,2933 MHz,57,https://www.epey.com/anakart/asus-prime-h470-plus.html
Gigabyte B460M D3H,,Intel B460,LGA 1200,DDR4,2933 MHz,57,https://www.epey.com/anakart/gigabyte-b460m-d3h.html
MSI Z270 Gaming Plus,,Intel Z270,LGA 1151,DDR4,3800 MHz,56,https://www.epey.com/anakart/msi-z270-gaming-plus.html
Gigabyte H470 HD3,,Intel H470,LGA 1200,DDR4,2933 MHz,56,https://www.epey.com/anakart/gigabyte-h470-hd3.html
MSI B350 PC Mate,,AMD B350,AM4,DDR4,3200 MHz,56,https://www.epey.com/anakart/msi-b350-pc-mate.html
MSI H370 Gaming Pro Carbon,,Intel H370,LGA 1151,DDR4,2666 MHz,56,https://www.epey.com/anakart/msi-h370-gaming-pro-carbon.html
Asus Prime Z270-P,,Intel Z270,LGA 1151,DDR4,3866 MHz,56,https://www.epey.com/anakart/asus-prime-z270-p.html
Gigabyte GA-Z270P-D3,,Intel Z270,LGA 1151,DDR4,3866 MHz,56,https://www.epey.com/anakart/gigabyte-ga-z270p-d3.html
Asus Prime H470M-Plus,,Intel H470,LGA 1200,DDR4,2933 MHz,56,https://www.epey.com/anakart/asus-prime-h470m-plus.html
Asus ROG Strix B360-F Gaming,,Intel B360,LGA 1151,DDR4,2666 MHz,56,https://www.epey.com/anakart/asus-rog-strix-b360-f-gaming.html
ASRock Fatal1ty B360M Performance,,Intel B360,LGA 1151,DDR4,2666 MHz,56,https://www.epey.com/anakart/asrock-fatal1ty-b360m-performance.html
MSI B450M Bazooka Plus,,AMD B450,AM4,DDR4,3333 MHz,56,https://www.epey.com/anakart/msi-b450m-bazooka-plus.html
Gigabyte GA-AB350N-Gaming WiFi,,AMD B350,AM4,DDR4,3200 MHz,55,https://www.epey.com/anakart/gigabyte-ga-ab350n-gaming-wifi.html
Gigabyte B450 I Aorus Pro WiFi,,AMD B450,AM4,DDR4,3200 MHz,55,https://www.epey.com/anakart/gigabyte-b450-i-aorus-pro-wifi.html
Gigabyte H370 HD3,,Intel H370,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/gigabyte-h370-hd3.html
Asus Z170M-Plus,,Intel Z170,LGA 1151,DDR4,3466 MHz,55,https://www.epey.com/anakart/asus-z170m-plus.html
MSI Z270-A Pro,,Intel Z270,LGA 1151,DDR4,3800 MHz,55,https://www.epey.com/anakart/msi-z270-a-pro.html
Gigabyte B460M Aorus Pro,,Intel B460,LGA 1200,DDR4,2933 MHz,55,https://www.epey.com/anakart/gigabyte-b460m-aorus-pro.html
Gigabyte B365 M Aorus Elite,,Intel B365,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/gigabyte-b365-m-aorus-elite.html
Gigabyte B460M Aorus Elite,,Intel B460,LGA 1200,DDR4,2933 MHz,55,https://www.epey.com/anakart/gigabyte-b460m-aorus-elite.html
ASRock B365M Pro4,,Intel B365,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/asrock-b365m-pro4.html
Asus TUF B360-Pro Gaming,,Intel B360,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/asus-tuf-b360-pro-gaming.html
Asus ROG Strix H370-F Gaming,,Intel H370,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/asus-rog-strix-h370-f-gaming.html
ASRock A320M Pro4-F,,AMD A320,AM4,DDR4,3200 MHz,55,https://www.epey.com/anakart/asrock-a320m-pro4-f.html
MSI B360 Gaming Pro Carbon,,Intel B360,LGA 1151,DDR4,2666 MHz,55,https://www.epey.com/anakart/msi-b360-gaming-pro-carbon.html
Asus TUF B350M-Plus,,AMD B350,AM4,DDR4,3200 MHz,55,https://www.epey.com/anakart/asus-tuf-b350m-plus.html
Gigabyte B460 HD3,,Intel B460,LGA 1200,DDR4,2933 MHz,54,https://www.epey.com/anakart/gigabyte-b460-hd3.html
Asus TUF H370-Pro Gaming Wi-Fi,,Intel H370,LGA 1151,DDR4,2666 MHz,54,https://www.epey.com/anakart/asus-tuf-h370-pro-gaming-wi-fi.html
MSI H370 Gaming Plus,,Intel H370,LGA 1151,DDR4,2666 MHz,54,https://www.epey.com/anakart/msi-h370-gaming-plus.html
MSI B450M Bazooka,,AMD B450,AM4,DDR4,3466 MHz,54,https://www.epey.com/anakart/msi-b450m-bazooka.html
Gigabyte B365M D3H,,Intel B365,LGA 1151,DDR4,2666 MHz,54,https://www.epey.com/anakart/gigabyte-b365m-d3h.html
Gigabyte GA-AX370M-Gaming 3,,AMD X370,AM4,DDR4,3200 MHz,54,https://www.epey.com/anakart/gigabyte-ga-ax370m-gaming-3.html
MSI B360M Bazooka,,Intel B360,LGA 1151,DDR4,2666 MHz,54,https://www.epey.com/anakart/msi-b360m-bazooka.html
MSI Z170A PC Mate,,Intel Z170,LGA 1151,DDR4,3600 MHz,54,https://www.epey.com/anakart/msi-z170a-pc-mate.html
ASRock A320M Pro4,,AMD A320,AM4,DDR4,3200 MHz,54,https://www.epey.com/anakart/asrock-a320m-pro4.html
Gigabyte GA-AB350M-DS3H V2,,AMD B350,AM4,DDR4,3200 MHz,54,https://www.epey.com/anakart/gigabyte-ga-ab350m-ds3h-v2.html
Gigabyte GA-AX370M-DS3H,,AMD X370,AM4,DDR4,3200 MHz,54,https://www.epey.com/anakart/gigabyte-ga-ax370m-ds3h.html
MSI B350M Bazooka,,AMD B350,AM4,DDR4,3200 MHz,53,https://www.epey.com/anakart/msi-b350m-bazooka.html
Asus Prime B460-Plus,,Intel B460,LGA 1200,DDR4,2933 MHz,53,https://www.epey.com/anakart/asus-prime-b460-plus.html
Asus Prime X370-A,,AMD X370,AM4,DDR4,3200 MHz,53,https://www.epey.com/anakart/asus-prime-x370-a.html
Asus ROG Strix B365-G Gaming,,Intel B365,LGA 1151,DDR4,2666 MHz,53,https://www.epey.com/anakart/asus-rog-strix-b365-g-gaming.html
Biostar B460GTA,,Intel B460,LGA 1200,DDR4,2933 MHz,53,https://www.epey.com/anakart/biostar-b460gta.html
Asus Prime B350-Plus,,AMD B350,AM4,DDR4,3200 MHz,53,https://www.epey.com/anakart/asus-prime-b350-plus.html
Gigabyte H370 AORUS Gaming 3,,Intel H370,LGA 1151,DDR4,2666 MHz,53,https://www.epey.com/anakart/gigabyte-h370-aorus-gaming-3.html
ASRock B250 Pro4,,Intel B250,LGA 1151,DDR4,2400 MHz,53,https://www.epey.com/anakart/asrock-b250-pro4.html
Asus Prime H370M-Plus,,Intel H370,LGA 1151,DDR4,2666 MHz,53,https://www.epey.com/anakart/asus-prime-h370m-plus.html
Gigabyte H470M DS3H,,Intel H470,LGA 1200,DDR4,2933 MHz,53,https://www.epey.com/anakart/gigabyte-h470m-ds3h.html
Asus Prime A520M-A/CSM,,AMD A520,AM4,DDR4,4800 MHz,53,https://www.epey.com/anakart/asus-prime-a520m-a-csm.html
MSI B350I Pro AC,,AMD B350,AM4,DDR4,3200 MHz,53,https://www.epey.com/anakart/msi-b350i-pro-ac.html
Gigabyte Z590 Vision D,,Intel Z590,LGA 1200,DDR4,-,52,https://www.epey.com/anakart/gigabyte-z590-vision-d.html
Asus Prime B460M-A/CSM,,Intel B460,LGA 1200,DDR4,2933 MHz,52,https://www.epey.com/anakart/asus-prime-b460m-a-csm.html
Gigabyte Z370 AORUS Gaming 3,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/gigabyte-z370-aorus-gaming-3.html
MSI Z170A Gaming M7,,Intel Z170,LGA 1151,DDR4,3600 MHz,62,https://www.epey.com/anakart/msi-z170a-gaming-m7.html
MSI Z270 MPower Gaming Titanium,,Intel Z270,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/msi-z270-mpower-gaming-titanium.html
Gigabyte Z370 HD3,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/gigabyte-z370-hd3.html
Gigabyte Z390 D,,Intel Z390,LGA 1151,DDR4,4266 MHz,62,https://www.epey.com/anakart/gigabyte-z390-d.html
ASRock Z390M-ITX/ac,,Intel Z390,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/asrock-z390m-itx-ac.html
Asus Prime Z370-A,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/asus-prime-z370-a.html
Asus ROG Maximus X Hero,,Intel Z370,LGA 1151,DDR4,4133 MHz,62,https://www.epey.com/anakart/asus-rog-maximus-x-hero.html
Asus Prime Z390M-Plus,,Intel Z390,LGA 1151,DDR4,4266 MHz,62,https://www.epey.com/anakart/asus-prime-z390m-plus.html
Huananzhi X99-T8,,Intel X99,LGA 2011-3,DDR3,1866 MHz,62,https://www.epey.com/anakart/huananzhi-x99-t8.html
MSI Z370 Gaming PRO Carbon,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/msi-z370-gaming-pro-carbon.html
MSI Z370 Krait Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/msi-z370-krait-gaming.html
Asus ROG Strix Z390-I Gaming,,Intel Z390,LGA 1151,DDR4,4500 MHz,62,https://www.epey.com/anakart/asus-rog-strix-z390-i-gaming.html
Asus TUF Gaming H470-Pro (Wi-Fi),,Intel H470,LGA 1200,DDR4,2933 MHz,62,https://www.epey.com/anakart/asus-tuf-gaming-h470-pro-wi-fi.html
MSI Z370 Gaming M5,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/msi-z370-gaming-m5.html
Asus ROG Strix Z370-F Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/asus-rog-strix-z370-f-gaming.html
Asus Prime Z370-A II,,Intel Z370,LGA 1151,DDR4,4000 MHz,62,https://www.epey.com/anakart/asus-prime-z370-a-ii.html
Gigabyte Aorus GA-AX370-Gaming 5,,AMD X370,AM4,DDR4,3200 MHz,62,https://www.epey.com/anakart/gigabyte-aorus-ga-ax370-gaming-5.html
Asus ROG Strix Z270F Gaming,,Intel Z270,LGA 1151,DDR4,3866 MHz,62,https://www.epey.com/anakart/asus-rog-strix-z270f-gaming.html
Asus ROG Strix X470-F Gaming,,AMD X470,AM4,DDR4,3466 MHz,62,https://www.epey.com/anakart/asus-rog-strix-x470-f-gaming.html
MSI Z270 Gaming M5,,Intel Z270,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/msi-z270-gaming-m5.html
Gigabyte GA-Z270X-Ultra Gaming,,Intel Z270,LGA 1151,DDR4,3866 MHz,61,https://www.epey.com/anakart/gigabyte-ga-z270x-ultra-gaming.html
MSI Z270 Gaming PRO Carbon,,Intel Z270,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/msi-z270-gaming-pro-carbon.html
Gigabyte Z370 HD3P,,Intel Z370,LGA 1151,DDR4,4000 MHz,61,https://www.epey.com/anakart/gigabyte-z370-hd3p.html
Asus Prime Z270-A,,Intel Z270,LGA 1151,DDR4,3866 MHz,61,https://www.epey.com/anakart/asus-prime-z270-a.html
Gigabyte X470 Aorus Ultra Gaming,,AMD X470,AM4,DDR4,3200 MHz,61,https://www.epey.com/anakart/gigabyte-x470-aorus-ultra-gaming.html
MSI Z370 Tomahawk,,Intel Z370,LGA 1151,DDR4,4000 MHz,61,https://www.epey.com/anakart/msi-z370-tomahawk.html
Asus ROG Strix B450-I Gaming,,AMD B450,AM4,DDR4,3600 MHz,61,https://www.epey.com/anakart/asus-rog-strix-b450-i-gaming.html
Asus Maximus VIII Gene,,Intel Z170,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/asus-maximus-viii-gene.html
MSI Z270 Krait Gaming,,Intel Z270,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/msi-z270-krait-gaming.html
Asus Prime X470-Pro,,AMD X470,AM4,DDR4,3466 MHz,61,https://www.epey.com/anakart/asus-prime-x470-pro.html
MSI Z270 Gaming Pro,,Intel Z270,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/msi-z270-gaming-pro.html
MSI Z270 SLI Plus,,Intel Z270,LGA 1151,DDR4,3800 MHz,61,https://www.epey.com/anakart/msi-z270-sli-plus.html
MSI Z370 PC Pro,,Intel Z370,LGA 1151,DDR4,4000 MHz,61,https://www.epey.com/anakart/msi-z370-pc-pro.html
Asus TUF Z370-Plus Gaming II,,Intel Z370,LGA 1151,DDR4,4000 MHz,61,https://www.epey.com/anakart/asus-tuf-z370-plus-gaming-ii.html
Asus TUF Z370-Plus Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,61,https://www.epey.com/anakart/asus-tuf-z370-plus-gaming.html
ASRock Z390M Pro4,,Intel Z390,LGA 1151,DDR4,4300 MHz,61,https://www.epey.com/anakart/asrock-z390m-pro4.html
Gigabyte GA-AX370-Gaming K3,,AMD X370,AM4,DDR4,3200 MHz,61,https://www.epey.com/anakart/gigabyte-ga-ax370-gaming-k3.html
Asus ROG Strix B350-I Gaming,,AMD B350,AM4,DDR4,3600 MHz,61,https://www.epey.com/anakart/asus-rog-strix-b350-i-gaming.html
Asus ROG Strix Z270-I Gaming,,Intel Z270,LGA 1151,DDR4,4266 MHz,61,https://www.epey.com/anakart/asus-rog-strix-z270-i-gaming.html
MSI Z270 Gaming M3,,Intel Z270,LGA 1151,DDR4,3800 MHz,60,https://www.epey.com/anakart/msi-z270-gaming-m3.html
ASRock Fatal1ty B450 Gaming-ITX/ac,,AMD B450,AM4,DDR4,3466 MHz,60,https://www.epey.com/anakart/asrock-fatal1ty-b450-gaming-itx-ac.html
ASRock X470 Master SLI,,AMD X470,AM4,DDR4,3466 MHz,60,https://www.epey.com/anakart/asrock-x470-master-sli.html
Asus ROG Crosshair VI Hero,,AMD X370,AM4,DDR4,3200 MHz,60,https://www.epey.com/anakart/asus-rog-crosshair-vi-hero.html
MSI Z270 Tomahawk Arctic,,Intel Z270,LGA 1151,DDR4,3800 MHz,60,https://www.epey.com/anakart/msi-z270-tomahawk-arctic.html
MSI Z270 Tomahawk,,Intel Z270,LGA 1151,DDR4,3800 MHz,60,https://www.epey.com/anakart/msi-z270-tomahawk.html
Asus ROG Strix Z390-H Gaming,,Intel Z390,LGA 1151,DDR4,4266 MHz,60,https://www.epey.com/anakart/asus-rog-strix-z390-h-gaming.html
Gigabyte X299 AORUS Gaming,,Intel X299,LGA 2066,DDR4,4133 MHz,60,https://www.epey.com/anakart/gigabyte-x299-aorus-gaming.html
MSI B450-A Pro,,AMD B450,AM4,DDR4,3466 MHz,60,https://www.epey.com/anakart/msi-b450-a-pro.html
Gigabyte GA-Z270-Gaming K3,,Intel Z270,LGA 1151,DDR4,3866 MHz,60,https://www.epey.com/anakart/gigabyte-ga-z270-gaming-k3.html
ASRock H470 Steel Legend,,Intel H470,LGA 1200,DDR4,2933 MHz,60,https://www.epey.com/anakart/asrock-h470-steel-legend.html
MSI X370 Gaming Pro Carbon,,AMD X370,AM4,DDR4,3200 MHz,60,https://www.epey.com/anakart/msi-x370-gaming-pro-carbon.html
MSI Z370I Gaming Pro Carbon AC,,Intel Z370,LGA 1151,DDR4,4500 MHz,60,https://www.epey.com/anakart/msi-z370i-gaming-pro-carbon-ac.html
ASRock Z370 Pro4,,Intel Z370,LGA 1151,DDR4,4266 MHz,60,https://www.epey.com/anakart/asrock-z370-pro4.html
Asus ROG Strix Z370-G Gaming,,Intel Z370,LGA 1151,DDR4,4000 MHz,59,https://www.epey.com/anakart/asus-rog-strix-z370-g-gaming.html
Gigabyte GA-Z170X-Ultra Gaming,,Intel Z170,LGA 1151,DDR4,3866 MHz,59,https://www.epey.com/anakart/gigabyte-ga-z170x-ultra-gaming.html
Asus Prime X370-Pro,,AMD X370,AM4,DDR4,3200 MHz,59,https://www.epey.com/anakart/asus-prime-x370-pro.html
Asus Prime Z270-K,,Intel Z270,LGA 1151,DDR4,3866 MHz,59,https://www.epey.com/anakart/asus-prime-z270-k.html
Asus TUF B360-Pro Gaming (Wi-Fi),,Intel B360,LGA 1151,DDR4,2666 MHz,59,https://www.epey.com/anakart/asus-tuf-b360-pro-gaming-wi-fi.html
MSI X370 SLI Plus,,AMD X370,AM4,DDR4,3200 MHz,59,https://www.epey.com/anakart/msi-x370-sli-plus.html
MSI Z270M Mortar,,Intel Z270,LGA 1151,DDR4,3800 MHz,59,https://www.epey.com/anakart/msi-z270m-mortar.html
Gigabyte A520 Aorus Elite,,AMD A520,AM4,DDR4,4733 MHz,59,https://www.epey.com/anakart/gigabyte-a520-aorus-elite.html
